umkm_name,umkm_category,purchase_order_date,total_seller_gain,total_project_value,total_revenue
HR. ARTO MORO,Mikro,2023-02-06,0,12645000,0
Rumah Produksi Komunitas Panggungharjo,Mikro,2023-04-06,0,587500,0
PT Padi Nusantara,Mikro,2023-02-06,0,190000,0
PRIMKOPKAR PERHUTANI KPH CEPU,Menengah,2023-03-24,0,580000,0
Pekatan Batik,Mikro,2023-04-07,0,3100000,0
Syamsmoothies,Mikro,2023-03-10,0,1161000,0
Zakiyya Hampers,Mikro,2023-04-07,0,3800000,0
Dapur Bu Jiran,Mikro,2023-04-07,0,310000,0
warungrkb,Mikro,2023-04-08,0,35230650,0
CROWN LEATHER,Mikro,2023-01-29,0,50122000,0
Rajasa Mas Jaya,Mikro,2023-03-22,0,458000,0
Rule Athallah LeOtonk,Mikro,2023-03-11,0,60000,0
BE PATIENT,Mikro,2023-02-18,0,34000,0
Batik Eyang Putri,Mikro,2023-02-19,0,8875000,0
Goedang kopi,Kecil,2023-03-11,0,735000,0
BE PATIENT,Mikro,2023-02-19,0,2942000,0
Dapur Bu Yuyun,Mikro,2023-02-19,0,1565000,0
Strapmade,Mikro,2023-02-19,0,795000,0
Lautan Rempah,Mikro,2023-02-19,0,51000,0
Knaffgalery,Mikro,2023-02-18,0,1644000,0
Kalapa Indung,Mikro,2023-02-19,0,271000,0
DEVDAN SNACKS,Mikro,2023-02-19,0,1100000,0
ROSELLA CELUP CAP BUKIT ASAM,Menengah,2023-03-11,0,760000,0
GRESSNACK Lampung,Mikro,2023-03-11,0,60000,0
Bloederhood Bakery,Mikro,2023-02-18,0,4014000,0
ROSELLA CELUP CAP BUKIT ASAM,Menengah,2023-03-12,0,190000,0
Gerabah Banyuasin,Mikro,2023-03-11,0,50000,0
Sayunara Bake,Mikro,2023-02-19,0,5515000,0
DEVDAN SNACKS,Mikro,2023-02-18,0,755000,0
PASAR MURAH NUSANTARA,Kecil,2023-02-24,0,18900616,0
Oh My Craft,Mikro,2023-03-11,0,1570000,0
COKELATIN SIGNATURE OFFICIAL,Mikro,2023-02-19,0,3865000,0
Madu Galo-Galo Cupiang,Mikro,2023-03-11,0,720000,0
Knaffgalery,Mikro,2023-02-19,0,2801000,0
ByraHijab,Mikro,2023-04-08,0,1105900,0
Sayunara Bake,Mikro,2023-02-18,0,2990000,0
Blabeli,Mikro,2023-03-11,0,2380000,0
selpy seluang crispy,Mikro,2023-03-11,0,390000,0
Morera Tenderizer,Mikro,2023-04-08,0,20000,0
Galleries Abata ,Mikro,2023-03-12,0,270000,0
Bali Ayu,Mikro,2023-04-08,0,555000,0
OMC Leather,Mikro,2023-02-19,0,1990000,0
Kopi Cap Bukit Asam,Kecil,2023-03-11,0,100000,0
Layah Goweng,Mikro,2023-03-11,0,260000,0
Cokelat Makaryo,Mikro,2023-02-19,0,1221000,0
KWT Melati NYOSS,Kecil,2023-02-19,0,65000,0
Roro Culinary,Mikro,2023-02-18,0,787000,0
Soes surgawi,Mikro,2023-02-19,0,5453000,0
BCC_BANYUWANGI,Mikro,2023-04-08,0,40000,0
KWT Melati NYOSS,Kecil,2023-02-18,0,350000,0
PT. Athar Rizki Food,Mikro,2023-02-28,0,105000,0
Madame by Linda,Mikro,2023-04-08,0,810000,0
RAHWONO COFFEE KOPI RAHWONO,Mikro,2023-03-11,0,295000,0
Rochsum culinary,Mikro,2023-02-18,0,370000,0
Kaya.ID,Mikro,2023-03-11,0,3674700,0
IMAGO Raw Honey,Mikro,2023-02-19,0,8088000,0
BU ODEH,Mikro,2023-02-19,0,655000,0
Elfira Collection 2,Mikro,2023-03-11,0,565000,0
Cokelat Makaryo,Mikro,2023-02-18,0,829000,0
selpy seluang crispy,Mikro,2023-03-12,0,180000,0
Rumah Produksi Komunitas Panggungharjo,Mikro,2023-04-08,0,4524500,0
ngata anata,Mikro,2023-04-15,0,520000,0
WARUNG PANGAN ID FOOD,Mikro,2023-02-25,0,360000,0
WARUNG PANGAN ID FOOD,Mikro,2023-03-19,0,400000,0
La Moringa,Mikro,2023-01-09,0,664200,0
WARUNG PANGAN ID FOOD,Mikro,2023-03-05,0,1210000,0
Kaos Jukung,Mikro,2023-01-26,0,500000,0
Cutnyak Official Store,Mikro,2023-04-08,0,2460000,0
Berkah Laut,Mikro,2023-04-08,0,460000,0
Pempek owam,Mikro,2023-03-10,0,2670000,0
Batik Gunung Kendil,Mikro,2023-01-29,0,4100000,0
SAMBEL PECEL MEKAAR,Mikro,2023-04-08,0,385000,0
Kaloka,Mikro,2023-04-06,0,7699000,0
Twin Digital,Mikro,2023-02-19,0,6543000,0
Sylvatea Indonesia,Mikro,2023-04-10,0,118000,0
Ulimus,Mikro,2023-03-12,0,525000,0
ASOY CEMAL CEMIL,Mikro,2023-03-12,0,520000,0
Blabeli,Mikro,2023-03-12,0,1897000,0
GrAndFil ,Mikro,2023-03-09,0,512000,0
Kaya.ID,Mikro,2023-03-09,0,798700,0
PT. Mitratama Cipta Solusindo,Mikro,2023-03-01,0,14000,0
Dapur uni Mia,Mikro,2023-03-12,0,320000,0
Ulimus,Mikro,2023-03-09,0,175000,0
RENDANG BUYA,Mikro,2023-03-11,0,1020000,0
Knaffgalery,Mikro,2023-02-16,0,948000,0
DEVDAN SNACKS,Mikro,2023-02-16,0,1725000,0
Toko Angga,Mikro,2023-03-14,0,6000,0
Humairah Cemilan,Mikro,2023-03-12,0,60000,0
BATIK KUJUR,Mikro,2023-03-09,0,23250000,0
Syamsmoothies,Mikro,2023-03-11,0,680000,0
RAHWONO COFFEE KOPI RAHWONO,Mikro,2023-03-09,0,130000,0
Bims cookies,Mikro,2023-03-12,0,1910000,0
KWT Melati NYOSS,Kecil,2023-02-16,0,675000,0
Rule Athallah LeOtonk,Mikro,2023-03-12,0,190000,0
Mak Fau Food,Mikro,2023-03-12,0,160000,0
WPCMart-Karya Perempuan Indonesia,Kecil,2023-02-16,0,336000,0
Brahma Grup,Mikro,2023-03-12,0,2360000,0
RISIRIS ,Mikro,2023-03-12,0,200000,0
Keizhijab ,Mikro,2023-03-09,0,96100,0
Kaya.ID,Mikro,2023-03-12,0,1437900,0
Goedang kopi,Kecil,2023-03-12,0,370000,0
Kopi Sanjungan,Mikro,2023-02-16,0,574000,0
PEYEK MIYEK,Mikro,2023-03-12,0,45000,0
Sayunara Bake,Mikro,2023-02-16,0,1710000,0
Brounice,Mikro,2023-03-09,0,168000,0
Hexagon,Mikro,2023-03-09,0,2490000,0
RENDANG BUYA,Mikro,2023-03-12,0,1020000,0
RAHWONO COFFEE KOPI RAHWONO,Mikro,2023-03-12,0,320000,0
PASAR MURAH NUSANTARA,Kecil,2023-02-27,0,39350293,0
Soes surgawi,Mikro,2023-02-16,0,4006000,0
Otings Official Shop,Mikro,2023-03-09,0,595000,0
PT.SALAKU CARA ENAK MAKAN SALAK,Mikro,2023-03-12,0,130000,0
Dapur Sawunggalih,Mikro,2023-03-09,0,280000,0
M Bloc Market (PT Ruang Market Milenial),Menengah,2023-03-29,0,222000,0
WARUNG PAKDE BUDE,Mikro,2023-03-23,0,124000,0
M Bloc Market (PT Ruang Market Milenial),Menengah,2023-03-28,0,334200,0
Generasi Sehat,Kecil,2023-03-22,0,110000,0
PASAR MURAH NUSANTARA,Kecil,2023-02-25,0,7291112,0
PT KARTIKA CIPTA ANUGRAH,Menengah,2023-02-10,0,225000,0
Syamsmoothies,Mikro,2023-03-12,0,809000,0
PASAR MURAH NUSANTARA,Kecil,2023-02-26,0,2118864,0
M Bloc Market (PT Ruang Market Milenial),Menengah,2023-03-16,0,108500,0
Toko Riezky,Mikro,2023-03-28,0,1261000,0
Kaos Jukung,Mikro,2023-01-28,0,2200000,0
Bebek MPR,Mikro,2023-04-06,0,1087000,0
