umkm_name,umkm_category,purchase_order_date,total_project_value,total_seller_gain,total_revenue
HR. ARTO MORO,Mikro,2023-02-06,12645000,0,0
Rumah Produksi Komunitas Panggungharjo,Mikro,2023-04-06,587500,0,0
PT Padi Nusantara,Mikro,2023-02-06,190000,0,0
PRIMKOPKAR PERHUTANI KPH CEPU,Menengah,2023-03-24,580000,0,0
Pekatan Batik,Mikro,2023-04-07,3100000,0,0
Syamsmoothies,Mikro,2023-03-10,1161000,0,0
Zakiyya Hampers,Mikro,2023-04-07,3800000,0,0
Mejikuhibiniu Butik utik,Kecil,2023-05-26,2765000,2765000,0
Dapur Bu Jiran,Mikro,2023-04-07,310000,0,0
warungrkb,Mikro,2023-04-08,35230650,0,0
Harumasa Official,Mikro,2023-05-26,3158000,3155045,-2821
Sugarindo Leather Goods,Kecil,2023-05-27,305000,305000,0
Bendera.co,Mikro,2023-05-28,3739000,3730000,0
NAYLA CRAFT,Mikro,2023-05-27,1321000,1321000,0
YEARN,Mikro,2023-05-26,279000,279000,0
CROWN LEATHER,Mikro,2023-01-29,50122000,0,0
Rajasa Mas Jaya,Mikro,2023-03-22,458000,0,0
Rule Athallah LeOtonk,Mikro,2023-03-11,60000,0,0
BE PATIENT,Mikro,2023-02-18,34000,0,0
Batik Eyang Putri,Mikro,2023-02-19,8875000,0,0
Goedang kopi,Kecil,2023-03-11,735000,0,0
BE PATIENT,Mikro,2023-02-19,2942000,0,0
Dapur Bu Yuyun,Mikro,2023-02-19,1565000,0,0
Strapmade,Mikro,2023-02-19,795000,0,0
Lautan Rempah,Mikro,2023-02-19,51000,0,0
Knaffgalery,Mikro,2023-02-18,1644000,0,0
Kalapa Indung,Mikro,2023-02-19,271000,0,0
DEVDAN SNACKS,Mikro,2023-02-19,1100000,0,0
ROSELLA CELUP CAP BUKIT ASAM,Menengah,2023-03-11,760000,0,0
GRESSNACK Lampung,Mikro,2023-03-11,60000,0,0
Bloederhood Bakery,Mikro,2023-02-18,4014000,0,0
ROSELLA CELUP CAP BUKIT ASAM,Menengah,2023-03-12,190000,0,0
Gerabah Banyuasin,Mikro,2023-03-11,50000,0,0
Sayunara Bake,Mikro,2023-02-19,5515000,0,0
DEVDAN SNACKS,Mikro,2023-02-18,755000,0,0
PASAR MURAH NUSANTARA,Kecil,2023-02-24,18900616,0,0
Oh My Craft,Mikro,2023-03-11,1570000,0,0
COKELATIN SIGNATURE OFFICIAL,Mikro,2023-02-19,3865000,0,0
Madu Galo-Galo Cupiang,Mikro,2023-03-11,720000,0,0
Knaffgalery,Mikro,2023-02-19,2801000,0,0
ByraHijab,Mikro,2023-04-08,1105900,0,0
Sayunara Bake,Mikro,2023-02-18,2990000,0,0
Blabeli,Mikro,2023-03-11,2380000,0,0
selpy seluang crispy,Mikro,2023-03-11,390000,0,0
Morera Tenderizer,Mikro,2023-04-08,20000,0,0
Galleries Abata ,Mikro,2023-03-12,270000,0,0
Bali Ayu,Mikro,2023-04-08,555000,0,0
OMC Leather,Mikro,2023-02-19,1990000,0,0
Kopi Cap Bukit Asam,Kecil,2023-03-11,100000,0,0
Layah Goweng,Mikro,2023-03-11,260000,0,0
Cokelat Makaryo,Mikro,2023-02-19,1221000,0,0
KWT Melati NYOSS,Kecil,2023-02-19,65000,0,0
Roro Culinary,Mikro,2023-02-18,787000,0,0
Soes surgawi,Mikro,2023-02-19,5453000,0,0
BCC_BANYUWANGI,Mikro,2023-04-08,40000,0,0
KWT Melati NYOSS,Kecil,2023-02-18,350000,0,0
PT. Athar Rizki Food,Mikro,2023-02-28,105000,0,0
Madame by Linda,Mikro,2023-04-08,810000,0,0
RAHWONO COFFEE KOPI RAHWONO,Mikro,2023-03-11,295000,0,0
Rochsum culinary,Mikro,2023-02-18,370000,0,0
Kaya.ID,Mikro,2023-03-11,3674700,0,0
IMAGO Raw Honey,Mikro,2023-02-19,8088000,0,0
BU ODEH,Mikro,2023-02-19,655000,0,0
Elfira Collection 2,Mikro,2023-03-11,565000,0,0
Cokelat Makaryo,Mikro,2023-02-18,829000,0,0
selpy seluang crispy,Mikro,2023-03-12,180000,0,0
Rumah Produksi Komunitas Panggungharjo,Mikro,2023-04-08,4524500,0,0
ngata anata,Mikro,2023-04-15,520000,0,0
WARUNG PANGAN ID FOOD,Mikro,2023-02-25,360000,0,0
WARUNG PANGAN ID FOOD,Mikro,2023-03-19,400000,0,0
La Moringa,Mikro,2023-01-09,664200,0,0
WARUNG PANGAN ID FOOD,Mikro,2023-03-05,1210000,0,0
Kaos Jukung,Mikro,2023-01-26,500000,0,0
Cutnyak Official Store,Mikro,2023-04-08,2460000,0,0
Telur Asin Pangon Rama,Mikro,2023-05-26,1040000,1040000,0
Berkah Laut,Mikro,2023-04-08,460000,0,0
Pempek owam,Mikro,2023-03-10,2670000,0,0
Batik Gunung Kendil,Mikro,2023-01-29,4100000,0,0
SAMBEL PECEL MEKAAR,Mikro,2023-04-08,385000,0,0
Kaloka,Mikro,2023-04-06,7699000,0,0
Twin Digital,Mikro,2023-02-19,6543000,0,0
Sylvatea Indonesia,Mikro,2023-04-10,118000,0,0
Ulimus,Mikro,2023-03-12,525000,0,0
ASOY CEMAL CEMIL,Mikro,2023-03-12,520000,0,0
Blabeli,Mikro,2023-03-12,1897000,0,0
GrAndFil ,Mikro,2023-03-09,512000,0,0
Kaya.ID,Mikro,2023-03-09,798700,0,0
PT. Mitratama Cipta Solusindo,Mikro,2023-03-01,14000,0,0
Dapur uni Mia,Mikro,2023-03-12,320000,0,0
Ulimus,Mikro,2023-03-09,175000,0,0
RENDANG BUYA,Mikro,2023-03-11,1020000,0,0
Knaffgalery,Mikro,2023-02-16,948000,0,0
DEVDAN SNACKS,Mikro,2023-02-16,1725000,0,0
Toko Angga,Mikro,2023-03-14,6000,0,0
Humairah Cemilan,Mikro,2023-03-12,60000,0,0
BATIK KUJUR,Mikro,2023-03-09,23250000,0,0
Syamsmoothies,Mikro,2023-03-11,680000,0,0
RAHWONO COFFEE KOPI RAHWONO,Mikro,2023-03-09,130000,0,0
Bims cookies,Mikro,2023-03-12,1910000,0,0
KWT Melati NYOSS,Kecil,2023-02-16,675000,0,0
Rule Athallah LeOtonk,Mikro,2023-03-12,190000,0,0
Mak Fau Food,Mikro,2023-03-12,160000,0,0
WPCMart-Karya Perempuan Indonesia,Kecil,2023-02-16,336000,0,0
Brahma Grup,Mikro,2023-03-12,2360000,0,0
RISIRIS ,Mikro,2023-03-12,200000,0,0
Keizhijab ,Mikro,2023-03-09,96100,0,0
Kaya.ID,Mikro,2023-03-12,1437900,0,0
Goedang kopi,Kecil,2023-03-12,370000,0,0
Kopi Sanjungan,Mikro,2023-02-16,574000,0,0
PEYEK MIYEK,Mikro,2023-03-12,45000,0,0
Sayunara Bake,Mikro,2023-02-16,1710000,0,0
Brounice,Mikro,2023-03-09,168000,0,0
Hexagon,Mikro,2023-03-09,2490000,0,0
RENDANG BUYA,Mikro,2023-03-12,1020000,0,0
RAHWONO COFFEE KOPI RAHWONO,Mikro,2023-03-12,320000,0,0
PASAR MURAH NUSANTARA,Kecil,2023-02-27,39350293,0,0
Soes surgawi,Mikro,2023-02-16,4006000,0,0
Otings Official Shop,Mikro,2023-03-09,595000,0,0
PT.SALAKU CARA ENAK MAKAN SALAK,Mikro,2023-03-12,130000,0,0
Dapur Sawunggalih,Mikro,2023-03-09,280000,0,0
PANDAN`S CRAFT BANTEN,Menengah,2023-05-25,390000,390000,0
M Bloc Market (PT Ruang Market Milenial),Menengah,2023-03-29,222000,0,0
WARUNG PAKDE BUDE,Mikro,2023-03-23,124000,0,0
M Bloc Market (PT Ruang Market Milenial),Menengah,2023-03-28,334200,0,0
Generasi Sehat,Kecil,2023-03-22,110000,0,0
PASAR MURAH NUSANTARA,Kecil,2023-02-25,7291112,0,0
PT KARTIKA CIPTA ANUGRAH,Menengah,2023-02-10,225000,0,0
Syamsmoothies,Mikro,2023-03-12,809000,0,0
PASAR MURAH NUSANTARA,Kecil,2023-02-26,2118864,0,0
M Bloc Market (PT Ruang Market Milenial),Menengah,2023-03-16,108500,0,0
Toko Riezky,Mikro,2023-03-28,1261000,0,0
Kaos Jukung,Mikro,2023-01-28,2200000,0,0
Bebek MPR,Mikro,2023-04-06,1087000,0,0
MAMEX PRO,Menengah,2023-04-13,937206022,0,0
Komunitas Mekaar,Mikro,2023-04-07,6675000,0,0
PURNAMA SHOP,Kecil,2023-04-07,300000,0,0
Komunitas Mekaar,Mikro,2023-04-09,8501000,0,0
Bali Ayu,Mikro,2023-04-09,485000,0,0
Sari Timbul Glass Factory,Menengah,2023-04-06,600000,0,0
Rumah Rahma ,Mikro,2023-04-06,4650000,0,0
PT. Diftria Art Crafting,Mikro,2023-04-06,750000,0,0
Sari Timbul Glass Factory,Menengah,2023-04-09,600000,0,0
keripik asya,Mikro,2023-04-09,332500,0,0
