umkm_name,total_seller_gain,total_project_value,total_revenue
HR. ARTO MORO,4962500,59340000,25744
Rumah Produksi Komunitas Panggungharjo,0,10830000,0
PT Padi Nusantara,14736000,311674000,81515
PRIMKOPKAR PERHUTANI KPH CEPU,0,18580000,0
Pekatan Batik,2575000,18950000,0
Syamsmoothies,0,3994000,0
Zakiyya Hampers,0,5145000,0
Mejikuhibiniu Butik utik,13890000,13890000,0
Dapur Bu Jiran,0,1685000,0
warungrkb,3402980,38659350,20707
Harumasa Official,9963382,9969000,-3161
Sugarindo Leather Goods,1348837,1383000,-1145
Bendera.co,10880000,10889000,0
NAYLA CRAFT,1321000,1321000,0
YEARN,279000,279000,0
CROWN LEATHER,0,210460000,0
Rajasa Mas Jaya,0,973000,0
Rule Athallah LeOtonk,0,974000,0
BE PATIENT,0,3554000,0
Batik Eyang Putri,0,33370000,0
Goedang kopi,100000,5735000,0
Dapur Bu Yuyun,0,3001000,0
Strapmade,0,3245000,0
Lautan Rempah,0,597000,0
Knaffgalery,0,6635000,0
Kalapa Indung,0,271000,0
DEVDAN SNACKS,0,4745000,0
ROSELLA CELUP CAP BUKIT ASAM,1415060,30042754,7337
GRESSNACK Lampung,0,776000,0
Bloederhood Bakery,23965330,80385500,3411
Gerabah Banyuasin,0,50000,0
Sayunara Bake,0,13585000,0
PASAR MURAH NUSANTARA,519249,174472059,-4402
Oh My Craft,0,6075000,0
COKELATIN SIGNATURE OFFICIAL,0,7845000,0
Madu Galo-Galo Cupiang,0,2969000,0
ByraHijab,492600,9993000,0
Blabeli,0,10627000,0
selpy seluang crispy,0,900000,0
Morera Tenderizer,0,160000,0
Galleries Abata ,0,1614000,0
Bali Ayu,0,1713000,0
OMC Leather,0,3100000,0
Kopi Cap Bukit Asam,3493849,43724790,12987
Layah Goweng,0,260000,0
Cokelat Makaryo,0,5166200,0
KWT Melati NYOSS,0,1665000,0
Roro Culinary,0,3582000,0
Soes surgawi,0,21243000,0
BCC_BANYUWANGI,0,1280000,0
PT. Athar Rizki Food,0,105000,0
Madame by Linda,0,7955000,0
RAHWONO COFFEE KOPI RAHWONO,0,1070000,0
Rochsum culinary,0,810000,0
Kaya.ID,0,10496500,0
IMAGO Raw Honey,0,19010800,0
BU ODEH,0,655000,0
Elfira Collection 2,0,1220000,0
ngata anata,108000,3368500,0
WARUNG PANGAN ID FOOD,0,2036000,0
La Moringa,0,664200,0
Kaos Jukung,0,3200000,0
Cutnyak Official Store,0,5202800,0
Telur Asin Pangon Rama,2080000,2080000,0
Berkah Laut,0,2820000,0
Pempek owam,0,14465000,0
Batik Gunung Kendil,0,6500000,0
SAMBEL PECEL MEKAAR,0,420000,0
Kaloka,4089000,24105000,0
Twin Digital,0,12847000,0
Sylvatea Indonesia,63557,635500,-1786
Ulimus,0,3556000,0
ASOY CEMAL CEMIL,0,1400000,0
GrAndFil ,39700,3899000,-1913
PT. Mitratama Cipta Solusindo,0,17347160,0
Dapur uni Mia,0,1420000,0
RENDANG BUYA,0,4765500,0
Toko Angga,0,6000,0
Humairah Cemilan,0,100000,0
BATIK KUJUR,9250020,517279919,57850
Bims cookies,0,5200000,0
Mak Fau Food,0,890000,0
WPCMart-Karya Perempuan Indonesia,0,1296500,0
Brahma Grup,0,121449000,0
RISIRIS ,0,405000,0
Keizhijab ,5215000,5398100,0
Kopi Sanjungan,0,1795000,0
PEYEK MIYEK,0,490000,0
Brounice,0,2275500,0
Hexagon,0,6570000,0
Otings Official Shop,0,3476000,0
PT.SALAKU CARA ENAK MAKAN SALAK,0,541000,0
Dapur Sawunggalih,0,700000,0
PANDAN`S CRAFT BANTEN,390000,390000,0
M Bloc Market (PT Ruang Market Milenial),0,3927687,0
WARUNG PAKDE BUDE,1952851,24718733,-32157
Generasi Sehat,0,85076500,0
PT KARTIKA CIPTA ANUGRAH,355200,17987150,0
Toko Riezky,165055,9468400,-3520
Bebek MPR,0,9452000,0
MAMEX PRO,0,937206022,0
Komunitas Mekaar,0,23451000,0
PURNAMA SHOP,0,5240000,0
Sari Timbul Glass Factory,0,1500000,0
Rumah Rahma ,0,12125000,0
PT. Diftria Art Crafting,0,2265000,0
keripik asya,457206,4708500,-11142
CV. MURNI ASIH,813000,829100,0
Rumah BUMN humbang hasundutan,0,14097000,0
Batik Tulis Lasem Sekar Mulyo,0,11023000,0
Zante,0,7100000,0
Koperasi Produsen Mitra Difabel Berdikari,0,2035000,0
Larisgaleri,300000,3382500,0
Ayudia Gaya,0,6120000,0
KoneKone,0,3606500,0
kriti by lusy rachmat,0,10450000,0
Ratu eceng,0,48680000,0
MADEBYDE,0,1485000,0
Jamune ,0,1435000,0
DPEARL & JEWELLERY,0,11260000,0
TOKO ALBASTOMI,12867919,151235551,26934
PT Bhinneka Mentaridimensi,146181860,2270401046,931606
HOPE Stationery,90300369,1843691510,565142
INDOMALL JAYA UTAMA - LANGGANAN BUMN,197366739,942643138,1191436
Toko MuLiya (Kurir Pribadi Khusus Kota Bandung),2343211,39240400,-23295
CV. TRIJAYA MALANG,0,740700,0
Maju jaya pratama,2592892,27831900,10376
sumber rejeki attala,313000,509900,0
Lima @ by Anita,0,11200000,0
Juanda Jumputan,0,7455000,0
Sutra Indah Jumputan,0,369000,0
PT BINTANG MUDA SRIWIJAYA-MAGNA PENTA,0,9782800,0
Saka Jaya,0,1642000,0
KHANZA OFFICIAL,1826637,60169055,-11391
Produk UMKM Kota Pekalongan,0,318000,0
UD Putra Bahari,0,8108000,0
JD  Fashion,0,3495000,0
CV Sukma Jaya Mandiri,9019456,98143765,33419
LIB Collection,0,800000,0
Batik cempaka,0,900000,0
Raka Catering ,160000,8374000,0
Ratnamoy,0,4817000,0
Inalu,0,2215000,0
Batik Tulis Bakaran Bu Sri P.Sarni,0,650000,0
IKIDS_ID,0,3669000,0
Jilolu,0,3540000,0
Denisya kichen,0,4172000,0
Sofia Handycraft,9208632,13313632,0
Usaha Mandiri,4290455,128952810,20542
KOPERASI KARYAWAN PT TELEKOMUNIKASI INDONESIA,3357079583,28172110921,16434003
CV MULTI SENTRA NUSANTARA,2160000,3855000,0
Rumah BUMN Baturaja,0,17773000,0
PT. Mayiora Indo Global,11284932,92685421,9607
KOPERASI SERBA USAHA MUTIARA MANDALIKA MADANI,0,37629,0
Hanny Lovelly Indonesia,0,14140000,0
DOMORO BATIK,5415000,5439000,0
SARANA KELOLA UTAMA,687791,36081946,349
SIBA Rajut,0,5515000,0
KOPERASI JATARA,39208000,1104779944,258280
KOPEGTEL RAJAWALI,180650500,2700685132,1082996
KOPEGTEL JAYA,757548044,7947777369,4337639
PT. JATRA MANDIRI PERKASA,191848942,489420333,1227933
KARYA ANUGRAH TEKNOLOGI,421131133,1580697538,1842420
INVESTKO MEGAMART/GratisOngkir S&K berlaku,221108255,3506405374,1161502
PACIFIC COMPUTER,0,45450000,0
