umkm_name,umkm_category,total_seller_gain,total_project_value,total_revenue
,,894000,894000,0
UD Putra Bahari,Besar,0,8108000,0
KOPERASI SWAKARYA KANPUS BRI,Besar,0,15085826,0
PT Padi dan Kapas,Besar,7846226,65152900,0
Scrunchie mama,Besar,0,380000,0
Hi-Cook Indonesia,Besar,0,2247000,0
Opals Store,Besar,0,122260002,0
PRATIWI AESTHETIC CARE,Besar,0,749000,0
PT. SIERRA PERSADA SOLUSINDO,Besar,9624820,18351333,51732
TIRTA INVESTAMA,Besar,0,108463500,0
GANDA MADY INDOTAMA,Besar,275625,22566400,33
EKSPLOITASI DAN INDUSTRI HUTAN V,Besar,0,2002398927,0
PT. Karya Sun Li,Besar,0,96495000,0
MASTE DAYAA,Besar,0,349922394,0
HSG Teknologi Indonesia,Besar,0,331668000,0
HARTA BAN INDONESIA,Besar,0,85470000,0
YONTOMO SUKSES ABADI,Besar,0,1590949290,0
GRAHA SARANA GRESIK,Besar,883438762,13582114196,5503293
PT. ROLLENT INDONESIA,Besar,0,865999800,0
INDOXIDE,Besar,0,1287840000,0
FLOW SOLUTION INDONESIA,Besar,0,177633300,0
SENTRAL LAHARINDO SERVIS,Besar,0,339956592,0
CV TRI SARI KUMPUL,Besar,0,719849592,0
MULTIPOLAR INTITAMA,Besar,0,168590130,0
GIESECKE & DEVRIENT INDONESIA,Besar,0,158250001,0
GRAMEDIA MALANG BASUKI RAHMAT,Besar,0,32433045,0
PT. KAWAN LAMA SEJAHTERA,Besar,0,1138897026,0
LAUTAN ORGANO WATER,Besar,0,602952000,0
KRAKATAU SAMUDERA SOLUSI,Besar,0,113220000,0
TRIBINA PANUTAN,Besar,0,13168795,0
ACE HARDWARE INDONESIA,Besar,0,10295797,0
SWADHARMA DUTA DATA,Besar,61582500,69930000,413985
DYNATECH INTERNATIONAL,Besar,0,25510575,0
BERCA HARDAYAPERKASA,Besar,0,219316608,0
PT.Alba Unggul Metal,Besar,0,32071674,0
BIOGEN SCIENTIFIC,Besar,0,10256400,0
PERUSAHAAN PERSEROAN (PERSERO) PT. TELEKOMUNIKASI INDONESIA,Besar,0,37748000,0
PT SAMATOR INDO GAS TBK,Besar,0,1110000,0
MEDIATAMA BINAKREASI,Besar,0,142000000,0
GLOBAL DIGITAL NIAGA,Besar,0,17069580,0
BUMEN REDJA ABADI,Besar,0,56059387645,0
NASMOCO BAHTERA MOTOR,Besar,0,8666999980,0
PT. Astra Internasional Tbk - Tso Cabang Salemba,Besar,0,40198905000,0
ALTON YOGANTARA PERKASA,Besar,0,15920061,0
Koperasi Konsumen Karyawan PT RNI,Besar,0,1876800000,0
PT LPP AGRO NUSANTARA,Besar,297960000,339216000,1358285
PESONA ADI BATARA,Besar,104439000,356700006,474491
PT Ultimate Genius Technology,Besar,173691008,901714827,787064
NEW MODULE INTERNATIONAL,Besar,0,7770000,0
PT CAKRA TRANSPORT UTAMA,Besar,60295000,344100000,412215
PT Sentral Data Komunikasi,Besar,34750100,99767997,235661
Dunia Plakat Jakarta,Besar,0,47900000,0
PT PERTAMINA ENERGY TERMINAL,Besar,74418700,192585000,447292
ARTHINDO UTAMA,Besar,194850000,199800000,1196595
CALMIC INDONESIA,Besar,0,17963225,0
MEKAR JAYA SENTOSA,Besar,2540800,7340000,12183
JASATAMA DIRGANTARA EKSPRESS LOGISTIK,Besar,0,233222709,0
WATAMA PRIMA,Besar,0,851148000,0
EIKON TECHNOLOGY,Besar,0,200080824,0
TRIMAXINDO INTERNATIONAL INDONESIA,Besar,10664210,59418300,60275
CIPTA JAYA TOBATI,Besar,0,1505160,0
CIPTA JAYA BANGUNAN,Besar,3361140,14035694,17080
FA CIPTA JAYA,Besar,0,3540900,0
PT CAHAYA PENGAJARAN ABADI,Besar,0,230137243,0
SEJATI GROSIR,Besar,0,63250000,0
KAWAN LAMA SEJAHTERA SEMARANG,Besar,0,54324142,0
WOWRACK INDONESIA,Besar,681975,699300,2570
USAHA PATRA LIMA JAYA,Besar,10114000,224886000,67785
PRASADHA PAMUNAH LIMBAH INDUSTRI,Besar,0,332331336,0
BRINGIN INTI TEKNOLOGI,Besar,0,113009010,0
SURYA SUDECO,Besar,0,15207000,0
SEJAHTERA TRIDAYA PRIMA,Besar,14529200,16583400,98089
HONEYWELL INDONESIA,Besar,0,166500000,0
PT.CENTURY BEARINDO INTERNATIONAL,Besar,25632600,203125214,172856
PT. FIRETECH PERKASA,Besar,0,23851680,0
LASINDO JAYABERSAMA,Besar,0,133755000,0
JOHN CRANE INDONESIA,Besar,0,48196755,0
Password Solusi Sistem,Besar,0,210145695,0
PRIMANUSA GLOBALINDO,Besar,0,99900000,0
PROVIS GARUDA SERVICES,Besar,0,87390855,0
BUENO TECHNOLOGY INDONESIA,Besar,11433600,12787200,74716
JOBSTREET INDONESIA,Besar,0,46586700,0
PT.RAHAYU CARITA PERKASA,Besar,0,50781126,0
"BERKAT NIAGA DUNIA, PT",Besar,42786250,398767500,279872
PT EXEED INDO JAYA,Besar,0,1165500,0
Maste Dayaa,Besar,0,47730000,0
ANDALAN NUSANTARA TEKNOLOGI,Besar,0,79920000,0
PT. Gumilar Mandiri Perkasa,Besar,43401000,54612000,292555
VINOTINDO GRAHASARANA,Besar,0,11777100,0
perum percetakan Negara RI Cabang Bengkulu,Besar,0,84380,0
WILLICH ISOLASI PRATAMA,Besar,0,78255000,0
DAEKYUNG INDAH HEAVY INDUSTRY,Besar,0,166500000,0
KUARTA POWERINDO PERKASA,Besar,0,771400050,0
BKS CABANG LAMPUNG,Besar,0,10875960,0
Mejikuhibiniu Butik utik,Kecil,13890000,13890000,0
Sugarindo Leather Goods,Kecil,1348837,1383000,-1145
Goedang kopi,Kecil,100000,5735000,0
PASAR MURAH NUSANTARA,Kecil,519249,174472059,-4402
Kopi Cap Bukit Asam,Kecil,3493849,43724790,12987
KWT Melati NYOSS,Kecil,0,1665000,0
WPCMart-Karya Perempuan Indonesia,Kecil,0,1296500,0
Generasi Sehat,Kecil,0,85076500,0
PURNAMA SHOP,Kecil,0,5240000,0
DPEARL & JEWELLERY,Kecil,0,11260000,0
CV. TRIJAYA MALANG,Kecil,0,740700,0
JD  Fashion,Kecil,0,3495000,0
CV Sukma Jaya Mandiri,Kecil,9019456,98143765,33419
SARANA KELOLA UTAMA,Kecil,687791,36081946,349
KOPERASI JATARA,Kecil,39208000,1104779944,258280
KOPEGTEL JAYA,Kecil,757548044,7947777369,4337639
PT. JATRA MANDIRI PERKASA,Kecil,191848942,489420333,1227933
Gesyal Official,Kecil,256756,273756,0
CV. Harmoni Multi Usaha,Kecil,0,511900,0
PT SHANTIKA FASHION JAYA (Shantika Fashion),Kecil,0,386000,0
CV. Mones Karya Javalejanum,Kecil,138950,3685000,-1246
CRAFTOTE,Kecil,0,726000,0
Milkymon,Kecil,0,2000,0
Lavira Instyle,Kecil,0,3150000,0
TSAMAROT INDONESIA,Kecil,0,3709500,0
Dwita Mukena Colet,Kecil,0,4702000,0
CV Amanda Abadi Makmur,Kecil,0,6800000,0
KOPERASI GIRI MAKMUR KEBUN SILUWOK,Kecil,2630700,2630700,0
PT. Pandu Karya Managemen,Kecil,0,13978589,0
NUFA kitchen,Kecil,0,639000,0
KOPERASI KARYAWAN GUNUNG GEDE GOALPARA,Kecil,0,206250,0
INDOKOM MEGA PRIMA,Kecil,0,59154000,0
PT Mahkota Daritama Persada,Kecil,0,20427500,0
PT Rendang Uni Tutie,Kecil,799500,1372000,0
MITRA ANEKA PERANGKAT,Kecil,0,9564602,0
Randang Cik Ani,Kecil,69475,3608000,-1713
Madinastore,Kecil,0,72000,0
CV Surya Prasetya Mandiri,Kecil,0,4428012,0
PD Warna Jaya,Kecil,9718435,90917800,26738
PT Cahaya Subur Sejahtera,Kecil,178368765,2041658853,914031
PT Bumi Lestari Conservana,Kecil,111000,128000,0
Deorispray,Kecil,0,39000,0
Hidayah Rima ,Kecil,0,7922000,0
ASKHA JAYA,Kecil,105000,971500,0
Koperasi Pekerja Pertamina Hulu Energi (KOPPER PHE),Kecil,436336004,3693632874,2343498
Abidzarshoop,Kecil,167502,2436200,-3473
KOPERASI KARYAWAN SERAYU JAYA KROYA,Kecil,2487711,19152100,-70048
PRIMKOKAR KANTOR PERUM PERHUTANI UNIT I JATENG,Kecil,125870950,595891951,825435
KOPERASI PEGAWAI KERETA API (KOPEKA),Kecil,8025692,64850205,-200768
toko berkah,Kecil,18975610,151617000,121079
DJAYA STATIONARY,Kecil,21137280,91912000,137252
CV. SUMBER REZEKI INDOMAKMUR,Kecil,105943643,312920942,698058
PT PRIMA MADANI PERKASA,Kecil,59954950,88904057,354024
ARLET,Kecil,34721082,127334961,0
PT. Duta Media Citra,Kecil,807581,56012232,1074
MAHARANI MARGA SEJAHTERA,Kecil,562275,165948172,-2047
Sinar Abadi,Kecil,230190744,4063753220,1297553
FAMATO TAMA KARYA (BEST SELLER),Kecil,18368689,113608836,108537
CV SHM Mart,Kecil,122650,2589453,-5796
ANUGERAH SETIA PERSADA,Kecil,61605,11127830,0
Toko Putra Bagus,Kecil,30963900,231994200,191049
Koperasi Nusantara Sejahtera,Kecil,652770,6503525,-15451
PT Swadharma Sejahtera,Kecil,38159060,176275375,242357
kelontongkita,Kecil,1700852,12614500,-33570
Kios Barokah,Kecil,496250,4350000,1157
CV ATA JAYA,Kecil,0,46729515,0
BINA MANDIRI,Kecil,20494483,132220820,95077
UD. Kejaya Handicraft,Kecil,119100,351000,-3014
BSJ SNACK,Kecil,0,3965000,0
TRIMITRA KARYA CIPTA,Kecil,26640,26090,0
CV. SINAR TIGA BINTANG PERKASA,Kecil,98908877,549852500,638468
Tulip Craft Bogor,Kecil,0,762500,0
PT. Hartora Kanondatim Pradana,Kecil,67371179,118361922,443699
TRIDUTA SOLUSINDO COMPUTAMA,Kecil,185834148,606681176,849250
BALI AYU NATURE,Kecil,0,146000,0
AMAN DAMAI SENTOSA,Kecil,0,170496000,0
MAHARESI TANGGUH INDONESIA,Kecil,0,553490400,0
LEMBAH TEKNOLOGI INDONESIA,Kecil,0,192474000,0
CV DADI MULYO BATIK,Kecil,0,620000,0
Kopegtel Citra Caraka Emas,Kecil,93799650,1079636496,595324
Optimal Karya Usaha,Kecil,2550000,151800009,0
Sukses trie indo,Kecil,4725000,4725000,0
CV ESA MEDCO TECHNOLOGY,Kecil,5201047,214054890,18954
CV. Multi Karya Ukhuwah,Kecil,0,27977550,0
PT. ANTERO AGUNG JAYA,Kecil,1740075,14705560,7731
Nadila Testing shop,Kecil,0,29000,0
MUKTI MANUNGGAL,Kecil,0,47530917,0
PT Sentral Solusi Teknologi,Kecil,24387315,293047960,141110
MUSTIKA LESTARI KENCANA - PERAK,Kecil,99225,1229600,-1035
Bluepindo Jaya,Kecil,5104020,71807262,22726
KOPEGTEL AGRESIF MEDAN,Kecil,63560601,550240914,381379
EVOS STAR,Kecil,22601,36327395,-1498
Savetone,Kecil,193612,113425000,-945
PT. KIRANA TEKNIK SOLUSI,Kecil,0,361944867,0
Contec Jaya,Kecil,225815593,2010606655,1447854
CV RANTO PADI,Kecil,36553285,240902750,226212
KPRI RIMBA Perhutani Salatiga,Kecil,0,2541000,0
Restu Mande,Kecil,0,182500,0
PT. Solutech Global Asia,Kecil,0,8321600,0
CV. BERSAMA KITA JAYA,Kecil,4912020,117346250,27212
CV. CITRA MANDIRI,Kecil,0,51183285,0
PT RIP INDO PURNAMA,Kecil,0,768103403,0
